model,tag,completed_updates,wall_time,value
fm,sub_loss/train_prior_loss_epoch,95880,1789412243.5005925,0.9590911269187927
fm,sub_loss/train_prior_loss_epoch,96220,1789412397.1120543,0.9591839909553528
fm,sub_loss/train_prior_loss_epoch,96560,1789412568.464954,0.9591412544250488
fm,sub_loss/train_prior_loss_epoch,96900,1789412708.6325626,0.9591280817985535
fm,sub_loss/train_prior_loss_epoch,97240,1789412854.414668,0.9591025710105896
fm,sub_loss/train_prior_loss_epoch,97580,1789412995.7636466,0.9590679407119751
fm,sub_loss/train_prior_loss_epoch,97920,1789413135.1731465,0.9590492844581604
fm,sub_loss/train_prior_loss_epoch,98260,1789413280.4016798,0.9590229988098145
fm,sub_loss/train_prior_loss_epoch,98600,1789413421.5913615,0.9590663313865662
fm,sub_loss/train_prior_loss_epoch,98940,1789413562.9638758,0.9590455293655396
fm,sub_loss/train_prior_loss_epoch,99280,1789413715.0952818,0.9590113162994385
fm,sub_loss/train_prior_loss_epoch,99620,1789413857.1246765,0.9589958786964417
fm,sub_loss/train_prior_loss_epoch,99960,1789413998.5808587,0.9589532613754272
fm,sub_loss/train_prior_loss_epoch,100300,1789414146.5035825,0.959004819393158
fm,sub_loss/train_prior_loss_epoch,100640,1789414296.0433903,0.9589629769325256
fm,sub_loss/train_prior_loss_epoch,100980,1789414447.9336314,0.9589371085166931
fm,sub_loss/train_prior_loss_epoch,101320,1789414600.2025518,0.9590101838111877
fm,sub_loss/train_prior_loss_epoch,101660,1789414747.6099176,0.958952784538269
fm,sub_loss/train_prior_loss_epoch,102000,1789414897.660669,0.9589923024177551
fm,sub_loss/train_prior_loss_epoch,102340,1789415035.9049602,0.9589936137199402
fm,sub_loss/train_prior_loss_epoch,102680,1789415175.5961628,0.9590104818344116
fm,sub_loss/train_prior_loss_epoch,103020,1789415318.7431219,0.9589825868606567
fm,sub_loss/train_prior_loss_epoch,103360,1789415459.3407152,0.9590407609939575
fm,sub_loss/train_prior_loss_epoch,103700,1789415600.2871463,0.9589642286300659
fm,sub_loss/train_prior_loss_epoch,104040,1789415749.713975,0.9589516520500183
fm,sub_loss/train_prior_loss_epoch,104380,1789415888.2590797,0.9589312672615051
fm,sub_loss/train_prior_loss_epoch,104720,1789416026.0258446,0.9589453339576721
fm,sub_loss/train_prior_loss_epoch,105060,1789416169.0152261,0.9589385390281677
fm,sub_loss/train_prior_loss_epoch,105400,1789416313.4416802,0.9589600563049316
fm,sub_loss/train_prior_loss_epoch,105740,1789416462.9163408,0.9589042067527771
fm,sub_loss/train_prior_loss_epoch,106080,1789416617.5057228,0.958948016166687
fm,sub_loss/train_prior_loss_epoch,106420,1789416761.3225145,0.9588974714279175
fm,sub_loss/train_prior_loss_epoch,106760,1789416899.495944,0.9589076638221741
fm,sub_loss/train_prior_loss_epoch,107100,1789417043.14989,0.9589038491249084
fm,sub_loss/train_prior_loss_epoch,107440,1789417182.0048165,0.9588829874992371
fm,sub_loss/train_prior_loss_epoch,107780,1789417321.4839282,0.9588709473609924
fm,sub_loss/train_prior_loss_epoch,108120,1789417464.4082255,0.9588453769683838
fm,sub_loss/train_prior_loss_epoch,108460,1789417603.95918,0.9589287638664246
fm,sub_loss/train_prior_loss_epoch,108800,1789417742.8251476,0.9589014649391174
fm,sub_loss/train_prior_loss_epoch,109140,1789417886.5413184,0.9589206576347351
fm,sub_loss/train_prior_loss_epoch,109480,1789418025.4831886,0.9588486552238464
fm,sub_loss/train_prior_loss_epoch,109820,1789418164.6357033,0.9589263796806335
fm,sub_loss/train_prior_loss_epoch,110160,1789418310.4274623,0.9588693976402283
fm,sub_loss/train_prior_loss_epoch,110500,1789418459.3033626,0.9588339328765869
