model,tag,start_inclusive,end_exclusive,count,mean,median,minimum,maximum
imf,imf/val_v_weighted_epoch,80000,100000,20,0.9999966204166413,0.9999966025352478,0.999996542930603,0.9999967217445374
imf,imf/val_v_weighted_epoch,100000,120000,20,0.999996566772461,0.999996542930603,0.999996542930603,0.9999966025352478
imf,imf/val_v_weighted_epoch,120000,136000,16,0.9999965541064739,0.999996542930603,0.9999964237213135,0.9999966025352478
imf,imf/val_v_weighted_epoch,136000,139151,4,0.9999965131282806,0.999996542930603,0.9999964237213135,0.999996542930603
imf,sub_loss/train_dur_loss_epoch,1000,10000,27,0.19425726764731938,0.19250275194644928,0.18877266347408295,0.20970727503299713
imf,sub_loss/train_dur_loss_epoch,10000,20000,29,0.186753468780682,0.18662850558757782,0.18511328101158142,0.18915997445583344
imf,sub_loss/train_dur_loss_epoch,20000,40000,59,0.1834322825326758,0.1833283007144928,0.1817704737186432,0.1856938600540161
imf,sub_loss/train_dur_loss_epoch,40000,60000,59,0.18097397129414444,0.18094748258590698,0.1796351969242096,0.18243806064128876
imf,sub_loss/train_dur_loss_epoch,60000,80000,59,0.18024309181560905,0.18024806678295135,0.1792535036802292,0.1811087727546692
imf,sub_loss/train_dur_loss_epoch,80000,100000,59,0.1796485945834952,0.1796921193599701,0.17881128191947937,0.18066886067390442
imf,sub_loss/train_dur_loss_epoch,100000,120000,58,0.1798545671948071,0.17985489964485168,0.1790832132101059,0.18131056427955627
imf,sub_loss/train_dur_loss_epoch,120000,136000,47,0.1795503630283031,0.17957864701747894,0.1785617619752884,0.18066449463367462
imf,sub_loss/train_dur_loss_epoch,136000,139151,10,0.1790769800543785,0.1790352463722229,0.17867299914360046,0.17973420023918152
imf,sub_loss/val_dur_loss_epoch,1000,10000,9,0.21845096515284645,0.21660618484020233,0.21280187368392944,0.2283962070941925
imf,sub_loss/val_dur_loss_epoch,10000,20000,10,0.21220719963312148,0.21199452877044678,0.20948852598667145,0.21419759094715118
imf,sub_loss/val_dur_loss_epoch,20000,40000,19,0.21120453978839673,0.21136587858200073,0.20850706100463867,0.21482233703136444
imf,sub_loss/val_dur_loss_epoch,40000,60000,20,0.21101947277784347,0.21087344735860825,0.2083238959312439,0.21431919932365417
imf,sub_loss/val_dur_loss_epoch,60000,80000,20,0.21209780499339104,0.21239502727985382,0.20755881071090698,0.21452805399894714
imf,sub_loss/val_dur_loss_epoch,80000,100000,20,0.2135839894413948,0.21355485171079636,0.21117810904979706,0.21540194749832153
imf,sub_loss/val_dur_loss_epoch,100000,120000,20,0.21447691991925238,0.214179627597332,0.21288760006427765,0.21699784696102142
imf,sub_loss/val_dur_loss_epoch,120000,136000,16,0.2159849340096116,0.2156481221318245,0.21349763870239258,0.21812863647937775
imf,sub_loss/val_dur_loss_epoch,136000,139151,4,0.21602445468306541,0.2157064825296402,0.21481651067733765,0.21786834299564362
imf,sub_loss/train_prior_loss_epoch,1000,10000,27,0.9703025663340533,0.9700726866722107,0.969550609588623,0.9722040295600891
imf,sub_loss/train_prior_loss_epoch,10000,20000,29,0.9692063064410769,0.969241738319397,0.9689158201217651,0.9695874452590942
imf,sub_loss/train_prior_loss_epoch,20000,40000,59,0.9686450816817203,0.9686307907104492,0.9683545231819153,0.9689682722091675
imf,sub_loss/train_prior_loss_epoch,40000,60000,59,0.968226941965394,0.9682230353355408,0.9680801630020142,0.9684091806411743
imf,sub_loss/train_prior_loss_epoch,60000,80000,59,0.9680791709382656,0.968070387840271,0.9679635763168335,0.9682133197784424
imf,sub_loss/train_prior_loss_epoch,80000,100000,59,0.9679522827520208,0.9679492115974426,0.9678556323051453,0.968049168586731
imf,sub_loss/train_prior_loss_epoch,100000,120000,58,0.9678841829299927,0.9678844511508942,0.9677903056144714,0.9679667353630066
